Business Name,Address,City,State,ZIP Code,Phone,Website,Email,LinkedIn URL,Facebook URL,Instagram URL,Twitter URL,Rating,Reviews,Category,Price Level,Place ID
All Smiles Family Dentistry Pc,"1790 Mulkey Rd SW # 4, Austell, GA 30106",Austell,Georgia,30106,(770) 739-4400,https://smilesource-allsmilesrus.com/about-us/,,,,,,,16,Dental clinic,,ChIJldarY1U99YgRObUpkSdVaMs
"Aspen Dental - McDonough, GA","1430 GA-20, McDonough, GA 30253",McDonough,Georgia,30253,(678) 537-6000,"https://www.aspendental.com/dentist/ga/mcdonough/1430-highway-20-west?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=McDonough,GA-McDonough_GA-2302&utm_content=listing",,,,,,,1163,Dentist,,ChIJRy5bj2JZ9IgRaHuqoXiMJnk
Vinings Family Dentistry,"2931 Paces Ferry Rd SE Ste 10, Atlanta, GA 30339",Atlanta,Georgia,30339,(770) 432-8516,https://www.viningsfamilydentistry.com/,,,,,,,10,Dentist,,ChIJW2qyGG8Q9YgRD4Q-rf2rF4Y
"Dr. Preston D. Miller III, DDS","460 North Pkwy, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 668-8922,https://www.google.com/maps/search/?api=1&query=Dr.%20Preston%20D.%20Miller%20III%2C%20DDS&query_place_id=ChIJG_8ux0qhfogR8w_EiFLOjvs,,,,,,,,Orthodontist,,ChIJG_8ux0qhfogR8w_EiFLOjvs
Dr. Glenda Walley,"25 Old South Rd #120, Counce, TN 38326",Counce,Tennessee,38326,(731) 689-3627,https://www.pickwickfamilydentalcare.com/,,,,,,,1,Dentist,,ChIJ__9PBb2ofYgR5xiJx9WVD00
Jackson Dental,"3100 E Jackson Blvd, Jackson, MO 63755",Jackson,Missouri,63755,(573) 243-5200,http://www.myjacksondental.com/,,,,,,,1554,Dentist,,ChIJhYJW9uaLd4gRM-BJ_WHkpcI
Nelson Donald DDS,"371 North Pkwy # 400, Jackson, TN 38305",Jackson,Tennessee,38305,(731) 664-2090,https://www.google.com/maps/search/?api=1&query=Nelson%20Donald%20DDS&query_place_id=ChIJHwWWXUuhfogRsiz7KQWle6c,,,,,,,,Dentist,,ChIJHwWWXUuhfogRsiz7KQWle6c
West Tennessee Mission of Mercy,"1408 N Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 736-4005,https://www.google.com/maps/search/?api=1&query=West%20Tennessee%20Mission%20of%20Mercy&query_place_id=ChIJq8670KuhfogRs2f2m6k5Yp0,,,,,,,,Emergency dental service,,ChIJq8670KuhfogRs2f2m6k5Yp0
Regional Health Department,"295 Summar Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 423-6600,https://www.google.com/maps/search/?api=1&query=Regional%20Health%20Department&query_place_id=ChIJL8thvC-hfogRRVm4yR_j7gw,,,,,,,11,Public health department,,ChIJL8thvC-hfogRRVm4yR_j7gw
Massey Nancy DDS,"1523 S Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6452,https://www.google.com/maps/search/?api=1&query=Massey%20Nancy%20DDS&query_place_id=ChIJyeO53DqgfogRfqC9K20cx_4,,,,,,,,Dentist,,ChIJyeO53DqgfogRfqC9K20cx_4
Dr. Clay T.,"1523 S Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6452,https://www.google.com/maps/search/?api=1&query=Dr.%20Clay%20T.&query_place_id=ChIJq7cM5jqgfogRAHucfFXn2dk,,,,,,,,Dentist,,ChIJq7cM5jqgfogRAHucfFXn2dk
Dental Professionals of Vinings,"2460 Cumberland Pkwy SE Ste 210, Atlanta, GA 30339",Atlanta,Georgia,30339,(770) 609-3145,https://imagixdental.com/dentist-office/atlanta-ga-30339?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,,,,,,,1109,Dentist,,ChIJEX9AFWMQ9YgRKJhsSh1rktM
"Dr. Robert B. Carney III, DDS","311 Summar Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 423-4400,https://www.google.com/maps/search/?api=1&query=Dr.%20Robert%20B.%20Carney%20III%2C%20DDS&query_place_id=ChIJ6TJqQS6hfogR2yZ-GAA_SM8,,,,,,,,Dentist,,ChIJ6TJqQS6hfogR2yZ-GAA_SM8
"Highland Dental Center: William P Welch Jr., DDS","7121 Highland Rd, Baton Rouge, LA 70808",Baton Rouge,Louisiana,70808,(225) 769-7640,http://www.batonrougelouisianadentist.com/,,,,,,,152,Dentist,,ChIJOZL7XHymJoYRigfw45ByO74
Pickwick Family Dental Care,"25 Old South Rd #120, Counce, TN 38326",Counce,Tennessee,38326,(731) 689-3627,https://www.pickwickfamilydentalcare.com/,,,,,,,18,Dentist,,ChIJ9_wnF72ofYgR5Z8q4EbkE5w
Hill Kenneth w DDS,"295 Summar Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 421-6720,https://www.google.com/maps/search/?api=1&query=Hill%20Kenneth%20w%20DDS&query_place_id=ChIJL8thvC-hfogRdueY3ITCbVU,,,,,,,,Dentist,,ChIJL8thvC-hfogRdueY3ITCbVU
Lakeland Dental Care,"11 Lakeland Cir, Jackson, MS 39216",Jackson,Mississippi,39216,(601) 981-8166,https://lakelanddentalcare.net/,,,,,,,70,Dentist,,ChIJqcTOnmotKIYR4L7TElS_Qe0
"A Certain Smile Dr. Kara Lemmon, DMD","915 Gerald St, Jackson, MO 63755",Jackson,Missouri,63755,(573) 243-6850,https://acertainsmilemo.com/,,,,,,,449,Dentist,,ChIJafy5n4OLd4gR_iMbpxDOaPE
Emil M Verban Jr DDS Pc,"2103 E Washington St, Bloomington, IL 61701",Bloomington,Illinois,61701,(309) 662-8448,http://www.mcleancountydental.com/,,,,,,,4,Dentist,,ChIJcxshHBdwC4gRHCOZumvSfds
Dr. Breion Douglas,"1108 Whitehall St, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 410-7161,https://www.google.com/maps/search/?api=1&query=Dr.%20Breion%20Douglas&query_place_id=ChIJg0f5lxwefIgRcjPEpFoGs9I,,,,,,,,Dentist,,ChIJg0f5lxwefIgRcjPEpFoGs9I
McLean County Dental,"2103 E Washington St #1C, Bloomington, IL 61701",Bloomington,Illinois,61701,(309) 662-8448,https://mcleancountydental.com/,,,,,,,618,Dentist,,ChIJqXR8BRdwC4gR0GGIO7C6QSA
